name,position
Đồng chí Phạm Hùng Tâm,Đại sứ Đặc mệnh toàn quyền nước CHXHCN Việt Nam tại Australia 
Đồng chí Nguyễn Thanh Tùng,"Tổng lãnh sự quán Việt Nam tại New South Wales, Queensland và Nam Úc "
Đồng chí Nghiêm Xuân Hoà,"Tham tán công sứ, Phó Đại sứ nước CHXHCN Việt Nam tại Australia "
Đồng chí Lê Thuỳ Trang,Phó Bí thư Đảng uỷ Đại sứ quán Việt Nam tại Australia 
Đồng chí Đặng Thuỳ Chi,"Bí Thư thứ nhất phụ trách giáo dục, Đại sứ quán Việt Nam tại Australia"
Đồng chí Bùi Việt Khôi,"Tham tán Khoa học Công nghệ, Đại sứ Việt Nam tại Australia"
Đồng chí Nguyễn Phú Hoà,"Phó Tổng lãnh sự tại Sydney, Trưởng cơ quan Thương vụ"
Lee Nguyen,Regional Executive Manager of Vietnam
Khanh Pham,Regional Executive Director - Vietnam/Partner
Duy Le,Founder/Ceo of Hashtax
Pham Quy Bao Long,Regional Manager & Consultant of Vision First Consulting group 
Vinson Luong,Founder/CEO of Axegal 
Đồng chí Huỳnh Tấn Đạt,"Uỷ viên Ban Thư ký Trung Ương Hội Sinh viên Việt Nam
Chủ tịch Hội Sinh viên Việt Nam tại Australia  "
Đồng chí Đặng Đình Hùng,Phó Chủ tịch Thường trực Hội Sinh viên Việt Nam tại Australia 
Đồng chí Nguyễn Đình Phước,"Uỷ viên Ban Thư ký Hội Sinh viên Việt Nam tại Australia
Chủ tịch Hội Sinh viên Việt Nam tại Vùng lãnh thổ thủ đô Australia"
Đồng chí Nguyễn Hải Anh,"Uỷ viên Ban Thư ký Hội Sinh viên Việt Nam tại Australia
Trưởng Ban Đối Ngoại Hội Sinh viên Việt Nam tại Australia "
Đồng chí Trần Thị Thu Thảo,Uỷ viên Ban Chấp Hành Hội Sinh viên Việt Nam tại Australia 
Đồng chí Nguyễn Khánh Vi,Uỷ viên Ban Chấp Hành Hội Sinh viên Việt Nam tại Australia 
Đồng chí Nguyễn Hoàng Nguyên,Uỷ viên Ban Chấp Hành Hội Sinh viên Việt Nam tại Australia 
Đồng chí Phạm Phú Khải,Uỷ viên Ban Chấp Hành Hội Sinh viên Việt Nam tại Australia 
Đồng chí Nguyễn Thuỵ Bảo Anh,Trưởng Ban Truyền Thông Hội Sinh viên Việt Nam tại Australia 
Đồng chí Vũ Khắc Gia Bảo,"Uỷ viên Ban Thư ký Hội Sinh viên Việt Nam tại Australia
Chánh Văn phòng Hội Sinh viên Việt Nam tại Australia
Chủ tịch Hội Sinh viên Việt Nam tại bang New South Wales"
Đồng chí Vương Minh Anh,"Uỷ viên Ban Chấp Hành Hội Sinh viên Việt Nam tại Australia
Phó Chủ tịch Hội Sinh viên Việt Nam tại bang New South Wales"
Đồng chí Chu Hoàng Nguyên,"Uỷ viên Ban Chấp Hành Hội Sinh viên Việt Nam tại Australia
Phó Chủ tịch Hội Sinh viên Việt Nam tại bang New South Wales"
Đồng chí Đàm Thị Kim Ngân,Phó Chủ tịch Hội Sinh viên Việt Nam tại bang New South Wales 
Đồng chí Lê Hà Vy,Trưởng Ban Đối Nội Hội Sinh viên Việt Nam tại bang New South Wales
Đồng chí Bùi Nhật Quyên,Thư Ký điều hành Hội Sinh viên Việt Nam tại bang New South Wales
Đồng chí Nguyễn Phúc Toàn,"Uỷ viên Ban Chấp hành Hội Sinh viên Việt Nam tại Australia
Trưởng Ban Đối ngoại Hội Sinh viên Việt Nam tại bang New South Wales"
Đồng chí Trần Bình Minh,Trưởng Ban Thiết kế hình ảnh Hội Sinh viên Việt Nam tại bang New South Wales
Đồng chí Vương Nhật Minh,Chủ tịch Hội Sinh viên Việt Nam tại trường Đại học Sydney 
Đồng chí Phạm Tú Anh,Chủ tịch Hội Sinh viên Việt Nam tại trường Đại học New South Wales 
Đồng chí Trần Quốc Văn Khánh An,Chủ tịch Hội Sinh viên Việt Nam tại trường Đại học Wollongong 
Đồng chí Lâm Hoàng Nguyên,Chủ tịch Hội Sinh viên Việt Nam tại trường Đại học Newcastle  
Đồng chí Hồ Thị Khánh Linh,Chủ tịch Hội Sinh viên Việt Nam tại trường Đại học Western Sydney
GS Nghiêm Đức Long,Chủ tịch Hội Trí thức và Chuyên gia Việt Nam tại Australia 
Anh Chu Gia Bình,Chủ tịch Hub Network AU
